gene,strand,AGR_pos,wt_codon,type,mRNA_CGA,mRNA_CGC,mRNA_CGG,mRNA_CGT,RBS_CGA,RBS_CGC,RBS_CGG,RBS_CGT
hofC,-1,994,AGA,remaining AGR,1.0917,1.0048,1.0762,1.0048,1.0,1.0,72.7778,1.1262
hofB,-1,406,AGA,remaining AGR,1.0032,1.0284,1.1513,1.0095,0.6025,0.2428,2.1492,0.5293
pdhR,1,511,AGG,remaining AGR,0.9977,1.0664,1.002,1.033,0.1892,0.1736,0.0221,0.1577
pdhR,1,703,AGA,remaining AGR,0.9203,0.9157,0.9446,0.9141,1.2524,1.2524,0.1017,1.2524
yacH,-1,1441,AGA,remaining AGR,1.0128,1.0359,1.1049,1.0101,0.8737,0.5571,0.956,1.2524
yacH,-1,1474,AGA,remaining AGR,1.0619,1.0664,1.0973,1.0855,0.2106,0.151,1.0936,0.1302
yacH,-1,1570,AGA,remaining AGR,1.0,1.0,1.0403,1.0605,0.9406,0.0678,1.1591,0.2301
yacH,-1,1780,AGG,remaining AGR,0.9863,0.9154,0.9937,0.9473,0.3195,0.253,0.7985,0.1933
yacH,-1,1837,AGA,remaining AGR,0.9645,0.9815,0.9738,0.9909,1.0,0.8703,4.4847,0.8703
yacH,-1,1840,AGA,remaining AGR,1.0,1.0784,1.0046,1.0209,0.7451,0.0573,2.0546,0.5177
yacH,-1,1849,AGG,remaining AGR,0.9158,0.9353,0.9883,0.9649,0.5009,0.283,1.2322,0.5009
yadE,1,424,AGG,remaining AGR,0.8853,0.8764,0.9941,0.9029,0.3054,0.2578,0.7985,0.2578
yadE,1,625,AGG,remaining AGR,0.995,1.1297,1.015,1.0645,0.8599,0.0225,0.6977,0.0672
yadE,1,1174,AGA,remaining AGR,1.0268,1.0105,1.0124,1.0256,0.5076,0.7344,3.569,0.9128
panD,-1,199,AGA,remaining AGR,1.0695,1.0654,1.1162,1.1093,0.5868,0.2201,2.5237,0.3367
yadD,1,694,AGA,remaining AGR,1.0,1.099,0.9854,1.0452,131.9596,2.5731,405.0101,3.2224
yadD,1,700,AGG,remaining AGR,0.9884,1.0819,1.0115,1.1016,0.0934,0.0121,0.0037,0.0084
yadD,1,781,AGA,remaining AGR,1.0094,0.9844,1.042,0.9844,0.9345,0.4895,3.4697,1.0225
yadC,-1,277,AGA,remaining AGR,0.9935,0.98,1.2232,0.9845,1.5051,0.4867,0.7371,0.4735
yadC,-1,397,AGG,remaining AGR,0.9558,0.9618,0.9337,0.9628,0.1736,0.0587,0.3516,0.1098
yadC,-1,808,AGA,remaining AGR,1.0067,1.1042,1.002,1.0176,0.8746,0.8746,0.8746,0.6962
yadK,-1,31,AGA,AGR in first 30,1.0504,1.0666,1.1415,1.1489,0.8278,0.4029,0.6671,0.295
yadK,-1,307,AGA,remaining AGR,0.9183,0.8792,0.9,0.8426,1.046,0.0755,1.2731,0.0733
yadK,-1,340,AGG,remaining AGR,0.9699,1.028,1.0091,0.9407,0.6373,0.045,0.8353,0.1583
yadV,-1,322,AGA,remaining AGR,0.9973,1.0747,1.0792,1.0377,0.7298,0.0371,1.1076,0.0834
yadV,-1,733,AGG,remaining AGR,0.9584,1.0989,0.9748,1.0367,0.2187,0.2215,0.7985,0.1303
folK,-1,451,AGA,remaining AGR,0.9467,0.9614,0.9219,0.9375,0.0337,1.0553,4.2213,1.6404
gluQ,-1,628,AGG,remaining AGR,0.9534,1.007,1.0394,0.9691,0.1383,0.0979,0.3745,0.111
dksA,-1,154,AGG,remaining AGR,0.9887,1.0356,1.1185,1.0139,0.9692,9.8158,0.9176,0.1741
sfsA,-1,259,AGG,remaining AGR,0.9461,1.059,0.9755,0.9788,28.078,23.4523,0.704,24.2842
sfsA,-1,622,AGG,remaining AGR,1.0139,1.0766,1.0139,1.039,0.0886,0.0841,0.3886,0.0771
hrpB,1,2188,AGA,remaining AGR,1.1148,1.1736,1.1125,1.1232,1.0,0.8737,1.0,1.0
hrpB,1,2278,AGG,remaining AGR,0.8979,0.9408,1.0032,0.9067,0.5999,0.3715,0.4252,0.4065
mrcB,1,1684,AGA,remaining AGR,0.9874,1.0288,1.0905,1.0999,3.2224,3.2224,2.8977,3.2224
fhuB,1,1966,AGA,remaining AGR,1.0652,1.0652,1.0973,1.1187,0.0066,0.0066,0.0066,0.0103
clcA,1,55,AGA,remaining AGR,1.1396,1.0804,1.1143,1.0129,2.3052,1.439,2.9719,1.0502
yadS,-1,247,AGA,remaining AGR,1.0351,1.0261,1.1502,1.0285,0.479,0.2967,0.6095,0.3246
dgt,1,850,AGA,remaining AGR,1.0,1.0,1.0125,1.0,0.5482,0.203,1.7299,0.1941
cdaR,1,1114,AGG,remaining AGR,1.046,1.046,1.1244,1.046,2.3052,1.0723,0.8772,2.3052
yaeI,-1,469,AGG,remaining AGR,0.9864,0.9792,1.0388,1.0269,0.3195,0.1979,0.7985,0.2165
yaeI,-1,550,AGA,remaining AGR,0.9686,0.9527,1.0151,0.9527,0.9176,0.7224,0.1612,0.6434
yaeI,-1,724,AGA,remaining AGR,1.0036,0.9948,1.0019,1.0443,0.7182,0.0204,1.0942,0.1295
dxr,1,1168,AGA,remaining AGR,0.9882,1.0085,0.9882,0.9882,0.7298,0.0199,3.5259,0.8398
ispU,1,466,AGG,remaining AGR,0.9242,1.0032,0.9548,0.9357,135.0291,37.2062,16.7342,96.3714
ispU,1,580,AGG,remaining AGR,1.0838,1.0076,1.0616,1.0205,1.0,0.4069,1.0,0.7993
cdsA,1,847,AGG,remaining AGR,1.0512,1.0512,1.0964,1.1341,0.1487,0.086,0.7985,0.0718
rseP,1,733,AGG,remaining AGR,1.0047,1.0047,1.0047,1.0094,0.1453,0.0559,0.7985,0.1182
rseP,1,832,AGG,remaining AGR,0.9826,1.0059,0.9693,0.9682,0.0544,0.1039,0.5131,0.1772
lpxB,1,412,AGA,remaining AGR,0.9467,0.899,0.9271,0.9102,1.046,0.3923,0.1786,0.4913
lpxB,1,961,AGA,remaining AGR,0.9697,1.032,0.9601,0.9643,0.7985,0.5688,4.5083,0.444
dnaE,1,523,AGG,remaining AGR,1.0493,1.1283,1.0339,1.0809,0.0274,0.2967,0.2711,0.3246
dnaE,1,2941,AGG,remaining AGR,0.9402,1.0277,1.0,0.9829,0.3054,0.0349,0.5827,0.0637
dnaE,1,3271,AGG,remaining AGR,0.9402,0.9402,1.0338,1.0372,0.6977,0.4448,1.0,0.4478
dnaE,1,3361,AGG,remaining AGR,0.9735,0.9854,0.9735,0.9735,0.0972,0.0379,0.0804,0.0213
ldcC,1,1927,AGA,remaining AGR,0.9829,0.9682,1.1459,0.9668,1.4334,0.449,2.4828,1.0093
tilS,1,829,AGG,remaining AGR,1.0815,1.1259,1.0815,1.0815,0.0181,0.0202,0.2488,0.0181
arfB,1,352,AGG,remaining AGR,0.9326,0.8998,0.9424,0.8798,0.0104,0.0104,0.1633,0.0104
proS,-1,1204,AGG,remaining AGR,1.0444,1.0966,1.0867,1.0328,0.1153,0.0703,0.0841,0.138
tsaA,-1,253,AGA,remaining AGR,1.0172,1.0475,1.037,1.0304,0.2836,0.2836,0.0085,0.2836
yafC,-1,412,AGA,remaining AGR,0.971,0.9793,1.0386,1.0058,2.0567,1.4563,3.5294,2.0134
yafC,-1,469,AGG,remaining AGR,1.003,0.9211,0.9757,0.9454,0.3496,0.2967,0.7985,0.2967
yafC,-1,904,AGA,remaining AGR,1.0315,1.0303,1.1079,1.0303,0.5956,0.4969,3.5999,0.3624
yafD,1,52,AGG,remaining AGR,0.9455,0.9455,0.9455,0.9455,0.2931,0.2726,0.6593,0.2931
yafD,1,589,AGA,remaining AGR,1.0575,1.0575,1.0909,1.0794,0.1892,0.3398,7.0684,6.5153
yafD,1,592,AGG,remaining AGR,0.9718,1.0626,1.0162,1.0182,21.995,4.3998,13.7286,10.4811
yafE,1,256,AGG,remaining AGR,0.9815,1.0748,1.1036,1.0218,0.5841,0.5841,0.027,0.5841
yafE,1,277,AGG,remaining AGR,1.0682,1.0864,1.0718,1.0883,0.5406,0.192,0.5406,0.5406
yafE,1,478,AGA,remaining AGR,1.0284,1.0284,1.0284,1.0284,24.4375,16.9007,23.3837,14.0573
yafE,1,547,AGA,remaining AGR,0.9752,1.0507,0.979,1.0167,0.2655,0.2655,0.4931,0.2655
gloB,-1,652,AGA,remaining AGR,1.0,1.0,1.0,1.0,0.9559,0.9559,5.4225,0.7428
gloB,-1,733,AGG,remaining AGR,1.0616,1.0915,1.0,0.9812,0.1135,0.0604,0.3246,0.0604
gloB,-1,748,AGG,remaining AGR,1.1087,1.0256,1.0763,1.0256,0.2981,0.2593,0.6563,0.2593
dnaQ,1,403,AGG,remaining AGR,0.9931,1.017,1.0279,1.0289,0.2352,0.209,0.3513,0.3124
yafT,1,346,AGG,remaining AGR,0.8928,0.8649,0.9942,0.9144,9.1551,5.8373,1.4465,9.1551
ykfM,-1,151,AGA,remaining AGR,0.8259,0.8036,0.8017,0.7129,7.6132,7.6132,0.3422,7.6132
yafV,-1,721,AGA,remaining AGR,1.0,1.1195,1.0256,1.027,1.023,0.4101,1.7898,0.2006
yafV,-1,760,AGG,remaining AGR,1.0156,1.0742,1.0587,1.0206,0.9176,0.1549,0.9176,0.8562
yafQ,-1,247,AGA,remaining AGR,1.0301,1.0616,1.0553,1.049,1.0986,0.5559,3.1668,0.8284
yafL,1,214,AGG,remaining AGR,0.9637,0.9913,1.0,1.0078,1.0349,0.146,0.4065,0.1241
yafL,1,292,AGA,remaining AGR,1.0406,1.1855,1.1188,1.1043,0.956,0.4683,3.1107,0.6376
yafL,1,721,AGG,remaining AGR,1.0344,1.0395,1.058,1.0927,0.1123,0.0626,0.0069,0.0608
rayT,1,136,AGG,remaining AGR,0.9449,0.9511,0.9403,0.9219,1.0,1.0,1.0,1.0
rayT,1,328,AGG,remaining AGR,1.1337,1.0542,1.0966,1.022,0.2701,0.3432,0.5532,0.3778
dinB,1,1033,AGA,remaining AGR,0.9806,1.011,1.0393,1.0406,1.023,0.1282,0.5712,0.6853
yafN,1,214,AGA,remaining AGR,1.0,1.0933,1.1443,1.106,0.1432,0.0134,0.4867,0.0148
yafO,1,235,AGA,remaining AGR,1.0,1.0,1.0,1.0,0.6669,0.5873,1.7793,0.9148
yafP,1,67,AGA,remaining AGR,1.002,1.0278,1.1423,0.9924,0.5644,0.5606,1.2548,0.1991
ykfH,-1,121,AGG,remaining AGR,0.9618,0.9623,0.9714,0.9977,0.2345,0.0656,0.1094,0.0637
paoD,-1,418,AGA,remaining AGR,1.0513,1.1232,1.0901,1.0632,0.0768,0.0536,0.0922,0.0595
paoD,-1,523,AGG,remaining AGR,1.0328,1.0302,1.0628,1.0986,0.6993,0.1983,0.6391,1.0024
paoD,-1,535,AGG,remaining AGR,1.0941,1.0941,1.1354,1.1527,0.677,0.677,0.677,0.677
paoD,-1,811,AGG,remaining AGR,1.016,0.9945,1.0326,0.9912,0.0469,0.0392,0.2836,0.0286
paoC,-1,292,AGG,remaining AGR,0.9237,0.9941,0.9678,0.94,0.2131,0.0297,0.956,0.0285
paoC,-1,745,AGA,remaining AGR,1.0,1.0885,1.1042,1.0375,0.1871,0.02,0.0134,0.0902
yagU,1,34,AGA,remaining AGR,0.9359,0.9615,1.0801,0.9487,0.7809,0.9175,1.7507,0.9715
yagU,1,175,AGG,remaining AGR,1.0261,1.0082,1.1608,1.0127,0.7428,0.2899,0.4065,0.2371
yagU,1,550,AGA,remaining AGR,0.9932,1.0357,1.0241,1.1453,1.046,0.2948,1.3616,0.2689
yagU,1,565,AGA,remaining AGR,1.0054,1.1525,1.0125,1.1226,1.046,0.4729,4.2954,0.6267
yagU,1,610,AGA,remaining AGR,1.0015,1.0496,1.0716,1.0,1.0953,12.3172,2.9113,22.9754
ykgJ,-1,106,AGG,remaining AGR,0.9191,1.0107,1.0222,0.9772,0.9408,0.5827,1.9642,0.6376
ykgJ,-1,244,AGA,remaining AGR,1.0401,1.0904,1.0954,1.0997,0.4081,0.0339,0.6927,0.1027
ykgJ,-1,301,AGG,remaining AGR,0.975,0.9951,0.9815,0.9555,0.3496,0.0226,0.4065,0.0512
ecpE,-1,382,AGA,remaining AGR,1.0074,1.0842,1.0502,1.0698,0.479,0.3411,0.5091,0.3551
ecpR,-1,142,AGA,remaining AGR,0.9921,1.0524,0.9966,0.9869,0.963,0.709,2.8977,0.7758
ecpR,-1,172,AGA,remaining AGR,1.0099,1.0099,1.1388,1.0502,0.6469,0.8309,4.0522,0.7878
ecpR,-1,286,AGA,remaining AGR,0.9781,1.0101,0.9833,1.0083,1.923,1.7564,18.1279,1.0
ecpR,-1,334,AGG,remaining AGR,0.9833,1.0511,1.0136,0.9833,1.292,0.1558,0.9647,9.1711
ecpR,-1,370,AGA,remaining AGR,1.0873,1.231,1.0981,1.0873,1.1659,0.933,2.7992,0.9137
ecpR,-1,400,AGG,remaining AGR,1.102,1.102,1.1321,1.228,0.2979,0.3246,1.0038,0.2105
ecpR,-1,409,AGA,remaining AGR,1.0317,1.1078,1.0714,1.0356,0.44,0.3632,1.5179,0.3632
ecpR,-1,499,AGA,remaining AGR,1.0,0.9611,1.0126,0.9655,1.0,1.0,0.0491,0.8562
ykgL,1,52,AGA,remaining AGR,1.0029,1.0742,1.0,1.0427,0.9599,0.0984,2.4493,0.1742
ykgL,1,73,AGG,remaining AGR,1.0,1.0023,1.0,1.0,1.0321,0.1262,1.0542,0.1629
ykgL,1,124,AGA,remaining AGR,1.0032,0.9919,1.0,0.9887,0.8017,0.5775,0.7828,0.9911
ykgL,1,133,AGG,remaining AGR,0.9711,0.9608,0.9921,1.0509,2.4682,0.6125,0.6116,1.8891
ykgL,1,172,AGG,remaining AGR,0.9204,0.9204,1.0415,0.9204,0.2797,0.125,0.9139,0.1697
rclC,-1,232,AGG,remaining AGR,0.9594,0.9831,0.9357,0.912,9.6661,8.834,9.2407,8.4453
rclA,-1,1018,AGG,remaining AGR,1.0139,1.0763,1.0139,1.0139,0.0264,0.972,0.0279,0.972
rclA,-1,1045,AGA,remaining AGR,1.0928,1.2272,1.1289,1.1053,0.9599,0.0936,0.0287,0.5431
rclA,-1,1105,AGA,remaining AGR,0.949,0.997,1.0331,0.9541,1.0723,0.6536,0.7152,0.8508
rclR,1,370,AGG,remaining AGR,1.039,1.1226,1.1003,1.0084,0.0571,0.0459,0.2755,0.0542
rclR,1,403,AGA,remaining AGR,0.9479,1.0165,0.9937,0.9753,0.7327,0.305,4.2899,0.7128
rclR,1,832,AGG,remaining AGR,0.9665,0.985,0.9776,0.9393,0.178,0.0709,0.1239,0.0901
rclR,1,838,AGA,remaining AGR,1.0427,0.9931,1.0805,0.9851,1.1194,0.5571,0.9139,1.1446
ykgE,1,49,AGA,remaining AGR,1.0,1.0175,1.0426,1.0229,24.1417,24.1417,1.1038,14.3089
ykgE,1,391,AGA,remaining AGR,1.0,0.9838,1.0553,0.9975,0.6095,0.3702,2.2481,0.8737
ykgF,1,262,AGA,remaining AGR,1.0,1.0245,1.0105,1.0017,0.5482,0.2967,2.945,0.3246
ykgG,1,277,AGG,remaining AGR,1.101,1.1519,1.084,1.0782,6.1907,0.7298,1.0,0.4653
ykgH,-1,295,AGA,remaining AGR,1.0,1.0243,1.0353,1.093,0.9047,0.0524,1.3061,0.053
ykgH,-1,304,AGG,remaining AGR,0.9705,0.992,1.0024,1.0315,3.3173,2.0897,18.5323,2.3156
ykgH,-1,328,AGA,remaining AGR,0.9543,0.9492,0.9716,0.9509,1.0,0.1653,0.4448,0.1653
ykgH,-1,412,AGG,remaining AGR,0.9238,0.9238,0.9486,0.9407,0.1342,0.1292,0.3763,0.111
ykgH,-1,487,AGG,remaining AGR,0.8871,0.8871,0.8871,0.8871,0.6908,0.6234,4.0355,0.6234
betA,-1,1615,AGG,remaining AGR,1.0815,1.0809,1.0942,1.0444,0.0031,0.0035,0.7634,0.0031
betA,-1,1657,AGA,remaining AGR,1.0549,1.1088,1.0347,1.0655,2.4598,0.5838,1.6678,1.0019
betI,-1,34,AGA,remaining AGR,1.0,1.1046,1.0724,1.0295,2.7449,1.2812,5.3497,1.4348
yahA,1,145,AGA,remaining AGR,0.9535,0.9521,1.0465,0.9768,1.046,0.1106,4.5663,0.5017
yahA,1,289,AGA,remaining AGR,1.0149,1.0166,1.0394,0.9979,1.0257,0.5258,3.8715,0.4628
yahA,1,736,AGA,remaining AGR,0.96,0.9497,1.0334,1.02,1.1492,0.2771,0.489,0.2899
yahB,-1,253,AGA,remaining AGR,1.0,0.984,0.9807,0.9587,1.046,0.7963,5.8803,0.7963
yahC,-1,169,AGA,remaining AGR,1.0576,1.1004,1.0466,1.074,2.0388,0.3554,17.9776,0.7534
yahE,1,73,AGA,remaining AGR,1.0204,1.0199,1.0471,1.1005,1.31,1.31,5.1766,1.31
yahJ,1,1330,AGA,remaining AGR,1.0197,1.0603,1.0,1.0,0.158,0.0941,0.8553,0.0967
yahL,1,517,AGA,remaining AGR,1.03,1.071,1.03,1.03,0.4234,0.2192,1.5877,0.2509
yahL,1,712,AGA,remaining AGR,0.9853,0.996,1.0466,1.0006,1.1972,3.1474,1.0091,6.3696
yahL,1,748,AGA,remaining AGR,0.9913,1.127,0.9936,1.0961,1.0,1.0,0.0801,0.7785
yahL,1,769,AGA,remaining AGR,1.0395,1.084,1.0395,1.0395,1.4757,0.7445,3.2288,0.7159
yahM,1,100,AGA,remaining AGR,1.021,1.0646,0.9919,1.0323,1.0,0.3886,1.4994,1.4334
yahM,1,232,AGG,remaining AGR,0.9959,1.0981,1.0,1.0006,24.3413,24.3413,1.1262,15.2708
yahN,-1,268,AGA,remaining AGR,1.0979,1.0202,1.0684,1.003,0.1452,0.4117,3.8483,0.5205
prpD,1,1396,AGA,remaining AGR,1.024,1.0335,1.0174,1.0606,1.3483,0.1879,0.1575,0.3252
prpE,1,1213,AGG,remaining AGR,0.9209,0.9781,0.9258,0.9883,0.3578,0.204,0.5096,0.2002
codA,1,1078,AGG,remaining AGR,1.0053,1.0053,0.9981,0.9912,10.0566,8.7865,0.7985,10.0566
cynR,-1,601,AGA,remaining AGR,0.9554,1.0041,0.9554,0.9781,1.0257,0.6008,2.4256,0.2481
cynR,-1,787,AGA,remaining AGR,1.0146,1.0305,1.0464,1.0168,0.1071,0.2816,1.3099,0.6119
lacA,-1,76,AGA,remaining AGR,1.0308,1.0621,1.0409,0.9947,0.5091,0.3981,1.4861,0.5272
lacA,-1,139,AGA,remaining AGR,1.0667,1.1125,1.1109,1.12,1.046,0.0139,0.2354,0.2053
lacA,-1,364,AGA,remaining AGR,1.0646,1.0924,1.113,1.0753,0.1889,0.0269,0.5358,0.0509
lacY,-1,652,AGA,remaining AGR,0.9721,1.0093,1.0355,0.9642,0.9408,1.5308,2.945,1.2224
lacI,-1,976,AGA,remaining AGR,1.0,1.0055,1.0982,1.0,0.5482,0.2967,2.1579,0.3246
mhpR,-1,808,AGG,remaining AGR,0.9376,1.0044,1.0175,1.0431,8.1427,6.8012,15.2065,6.8012
mhpB,1,682,AGA,remaining AGR,1.0996,1.0996,1.1553,1.0996,0.0088,0.0088,0.3717,0.0088
mhpB,1,931,AGA,remaining AGR,0.9408,1.0611,0.9714,1.008,0.3072,0.0146,3.8579,0.0315
mhpF,1,142,AGA,remaining AGR,1.0382,1.0358,1.0545,1.0498,0.4658,0.4069,0.2839,0.297
mhpT,1,1180,AGA,remaining AGR,1.0508,1.1379,1.0508,1.0591,0.132,0.0921,0.6376,0.1054
yaiL,1,76,AGA,remaining AGR,1.0248,1.0906,1.0231,1.0535,0.7298,0.4867,2.0115,1.046
yaiP,-1,64,AGA,remaining AGR,1.0034,0.9936,1.2083,1.0342,0.6866,0.4579,0.0215,0.5011
yaiP,-1,790,AGA,remaining AGR,0.9671,1.0241,1.0517,0.9671,0.4579,0.3106,1.1457,0.3321
yaiS,-1,46,AGA,remaining AGR,0.9884,1.0839,0.9751,1.003,0.2247,0.2247,1.063,0.3524
yaiV,1,58,AGA,remaining AGR,1.0642,1.0808,1.0642,1.0642,0.6669,0.6669,1.2524,0.6669
yaiV,1,166,AGA,remaining AGR,0.991,0.9635,0.9989,0.9251,0.6928,0.2135,0.8643,0.1483
yaiV,1,370,AGA,remaining AGR,1.0193,1.0725,1.0446,1.0916,1.0,1.0,244.7725,0.7224
psiF,1,70,AGA,remaining AGR,1.0031,1.025,1.0511,0.9954,0.4996,0.3486,1.3079,0.7161
yaiC,1,124,AGA,remaining AGR,1.0246,1.0358,1.0489,1.0056,0.7994,0.4086,0.5537,0.5346
yaiC,1,268,AGG,remaining AGR,1.1102,1.1942,1.0898,1.0996,0.451,0.0831,0.565,0.1312
yaiC,1,613,AGG,remaining AGR,0.9778,0.9778,1.0385,0.9951,16.0913,16.0913,0.7634,16.0913
aroL,1,151,AGG,remaining AGR,1.0252,1.0468,1.04,1.0326,0.3833,0.1162,1.1262,0.2942
aroL,1,178,AGA,remaining AGR,1.0495,1.1471,1.0525,1.0766,1.3703,0.0614,0.4416,0.039
yaiA,1,91,AGA,remaining AGR,0.9067,0.9242,1.0259,0.9999,1.046,0.2704,1.1635,0.2637
mak,1,283,AGG,remaining AGR,1.0154,1.0507,1.0139,1.0344,3.9518,3.9518,3.9518,3.9518
araJ,-1,769,AGG,remaining AGR,0.9324,0.9566,0.9865,0.9802,0.0853,0.0853,0.3756,0.0853
phoB,1,253,AGA,remaining AGR,1.0003,1.0561,1.0793,1.0085,0.935,0.0523,1.6483,0.5683
malZ,1,781,AGG,remaining AGR,0.8419,0.8664,0.9318,0.8796,0.2963,0.1792,0.7985,0.1263
yajI,-1,163,AGG,remaining AGR,0.8935,0.8979,1.0,0.8979,0.8056,0.4101,0.7985,0.8815
yajI,-1,223,AGA,remaining AGR,1.0253,0.9437,1.0816,1.0394,0.7794,0.832,0.358,0.8922
thiL,1,49,AGA,remaining AGR,0.9945,1.0518,0.9993,0.9829,0.1673,0.4523,4.2924,0.2884
yajO,-1,646,AGG,remaining AGR,0.9599,0.9885,0.9846,0.9599,0.479,0.0205,0.4065,0.0205
ispA,-1,412,AGA,remaining AGR,1.0343,1.1198,0.9853,1.0225,0.8086,0.4306,3.8579,0.9189
yajR,-1,31,AGG,AGR in first 30,1.0871,1.0889,1.0871,1.0871,0.0473,0.0264,0.0542,0.0264
cyoE,-1,184,AGG,remaining AGR,0.9365,0.9902,1.0,0.9528,0.3147,0.088,0.4065,0.0806
cyoE,-1,196,AGA,remaining AGR,1.0149,1.0369,1.0453,1.0149,0.3715,0.3715,0.7298,0.5827
